Day,Pair,Gross_flow,Net_flow,FX_rate
2,D->H,80.728,-5.628,1.04877
2,E->A,50.44,4.522,1.04844
2,E->B,74.071,-3.714,1.06494
2,E->C,74.182,-13.954,1.32791
2,E->D,162.851,26.792,0.94139
2,E->F,99.722,1.68,0.92298
2,E->G,79.852,-2.776,0.87764
2,E->H,104.281,5.702,1.09205
2,F->A,154.843,-8.926,1.1661
2,F->B,57.961,-4.53,0.98578
2,F->C,57.765,6.686,0.87119
2,F->D,98.833,-7.498,0.86959
2,F->E,21.887,-3.089,1.10223
2,F->G,80.268,-9.373,1.09917
2,F->H,194.407,20.695,1.07822
2,G->A,94.644,-5.837,0.89143
2,G->B,15.862,-4.2,1.03532
2,G->C,120.914,-4.847,1.00862
2,G->D,41.839,-1.978,1.031
2,G->E,121.87,17.448,1.13157
2,G->F,57.884,6.005,1.03467
2,G->H,21.367,2.013,1.10787
2,H->A,56.551,11.008,1.01383
2,H->B,76.305,6.569,1.05462
2,H->C,46.289,-2.136,1.0912
2,H->D,45.206,3.416,0.77871
2,H->E,209.04,26.611,0.95427
2,H->F,114.262,-19.519,0.93489
2,H->G,126.535,17.005,0.9146
3,A->B,61.842,0.735,1.05699
3,A->C,34.487,-0.345,0.84271
3,A->D,20.847,-1.648,1.10326
3,A->E,80.294,-4.572,1.13096
3,A->F,101.421,-2.858,0.7029
3,A->G,59.073,-9.028,0.79709
3,A->H,125.679,8.891,1.02062
3,B->A,30.814,-0.03,0.95171
3,B->C,36.246,6.448,0.99213
3,B->D,74.38,-3.325,0.87448
3,B->E,50.072,-12.221,1.13246
3,B->F,104.789,13.74,1.1016
3,B->G,90.371,0.672,1.00019
3,B->H,65.462,11.442,1.17084
3,C->A,40.505,-1.655,1.06184
3,C->B,58.574,-0.184,0.87042
3,C->D,101.847,1.72,1.04381
3,C->E,109.796,-15.777,0.8752
3,C->F,55.739,1.076,1.12563
3,C->G,18.668,-5.26,0.98436
3,C->H,32.207,-4.344,0.96923
3,D->A,91.872,4.497,0.89491
3,D->B,52.188,-1.068,1.16494
3,D->C,56.43,-15.25,0.96792
3,D->E,36.925,-1.117,0.93417
3,D->F,34.174,6.675,0.93005
3,D->G,117.411,15.105,1.08962
3,D->H,88.427,-2.296,1.04314
3,E->A,52.634,-0.975,1.05363
3,E->B,71.959,2.76,1.07223
3,E->C,80.12,0.99,1.32412
3,E->D,170.841,6.564,0.9403
3,E->F,38.619,5.355,0.93062
3,E->G,78.076,3.917,0.88178
3,E->H,122.259,6.082,1.09862
3,F->A,162.629,-45.039,1.16833
3,F->B,50.547,-4.473,0.98007
3,F->C,54.878,12.69,0.87118
3,F->D,,-13.406,0.86912
3,F->E,23.9,-5.899,1.10733
3,F->G,87.978,-0.929,1.10257
3,F->H,210.446,-9.555,1.07061
3,G->A,86.096,5.18,0.89472
3,G->B,6.217,-3.948,1.03376
3,G->C,50.031,7.751,1.01528
3,G->D,53.069,-1.004,1.03168
3,G->E,128.994,-6.581,1.13516
3,G->F,,0.82,1.03859
3,G->H,28.16,0.73,1.09874
3,H->A,71.347,2.476,1.01212
3,H->B,81.079,2.747,1.05787
3,H->C,42.324,-2.109,1.09118
3,H->D,39.06,-2.644,0.7806
3,H->E,221.824,-11.296,0.95812
3,H->F,122.905,8.829,0.93537
3,H->G,121.186,3.136,0.91024
4,A->B,58.012,0.152,1.07
4,A->C,39.925,1.482,0.8432
4,A->D,27.135,-2.976,1.10953
4,A->E,226.968,4.933,1.13916
4,A->F,99.87,-3.855,0.69732
4,A->G,62.854,11.932,0.79475
4,A->H,113.18,0.891,1.02094
4,B->A,21.414,-3.839,0.95483
4,B->C,37.676,7.981,0.99302
4,B->D,76.178,12.588,0.87664
4,B->E,59.046,2.904,1.13585
4,B->F,104.192,-12.748,1.09723
4,B->G,99.174,1.634,0.99444
4,B->H,56.124,7.011,1.16873
4,C->A,32.576,-1.289,1.05787
4,C->B,50.549,12.689,0.86999
4,C->D,88.503,-1.091,1.04023
4,C->E,109.322,5.487,0.87536
4,C->F,62.132,-11.84,1.11442
4,C->G,23.232,-2.933,0.98247
4,C->H,28.234,-1.693,0.97056
4,D->A,89.392,5.228,0.90152
4,D->B,49.238,3.442,1.16346
4,D->C,51.675,13.189,0.97668
4,D->E,31.487,-8.315,0.93362
4,D->F,28.772,1.815,0.93074
4,D->G,106.288,6.151,1.08527
4,D->H,264.898,-5.691,1.04505
4,E->A,55.297,6.832,1.05228
4,E->B,83.159,-10.255,1.06727
4,E->C,74.084,-3.94,1.32691
4,E->D,160.678,-12.202,0.93617
4,E->F,39.192,-0.633,0.92975
4,E->G,73.21,-10.056,0.87192
4,E->H,112.362,14.816,1.10088
4,F->A,156.407,13.241,1.16497
4,F->B,43.392,-11.658,0.97429
4,F->C,55.181,1.636,0.86774
4,F->D,104.303,13.043,0.87468
4,F->E,21.404,-1.337,1.10771
4,F->G,83.713,-15.962,1.10791
4,F->H,197.313,-15.259,1.06725
4,G->A,98.275,-1.426,0.8992
4,G->B,10.414,-4.253,1.03316
4,G->C,43.988,2.515,1.02311
4,G->D,48.91,-4.463,1.0318
4,G->E,128.556,-3.799,1.14196
4,G->F,67.587,3.553,1.03989
4,G->H,30.034,3.35,1.09967
4,H->A,57.277,5.975,1.01641
4,H->B,70.174,-7.821,1.05816
4,H->C,53.928,1.635,1.08981
4,H->D,42.517,-10.806,0.77924
4,H->E,203.865,9.138,0.96083
4,H->F,114.663,-16.191,0.94095
4,H->G,118.25,-21.925,0.91128
5,A->B,48.333,-1.169,1.07397
5,A->C,41.73,0.886,0.84494
5,A->D,22.227,3.161,1.10834
5,A->E,76.023,-2.545,1.1333
5,A->F,96.861,7.837,0.69694
5,A->G,47.174,-1.8,0.80239
5,A->H,106.083,-8.306,1.01964
5,B->A,18.413,2.854,0.95302
5,B->C,42.52,9.225,0.9978
5,B->D,74.967,-11.227,0.87653
5,B->E,51.79,1.125,1.14425
5,B->F,94.402,-0.72,1.08766
5,B->G,82.023,6.876,0.9899
5,B->H,50.415,3.116,1.15784
5,C->A,27.997,0.426,1.05044
5,C->B,48.458,0.9,0.86747
5,C->D,91.894,1.213,1.04291
5,C->E,90.239,16.993,0.88137
5,C->F,56.017,5.509,1.11458
5,C->G,20.811,-1.046,0.98337
5,C->H,30.645,-2.416,0.97418
5,D->A,80.352,-8.879,0.90259
5,D->B,37.821,-1.369,1.17
5,D->C,46.414,7.137,0.97597
5,D->E,43.078,-2.242,0.93086
5,D->F,34.531,3.016,0.93759
5,D->G,108.075,15.879,1.08721
5,D->H,82.096,1.275,1.05023
5,E->A,38.613,-4.544,1.04302
5,E->B,69.866,-16.996,1.06626
5,E->C,69.645,-3.021,1.33827
5,E->D,156.966,4.668,0.93982
5,E->F,26.271,2.105,0.93058
5,E->G,73.249,-3.944,0.87038
5,E->H,101.579,7.914,1.0944
5,F->A,153.236,6.782,1.16373
5,F->B,43.771,2.611,0.97493
5,F->C,56.671,-10.572,0.86047
5,F->D,103.048,-5.581,0.86626
5,F->E,21.765,-4.103,1.10536
5,F->G,79.772,-19.856,1.11134
5,F->H,191.572,-22.75,1.07802
5,G->A,76.96,-5.185,0.90604
5,G->B,13.244,-4.122,1.04023
5,G->C,34.82,2.233,1.02513
5,G->D,41.94,-3.097,1.02472
5,G->E,124.68,8.789,1.14113
5,G->F,56.557,-3.934,1.03501
5,G->H,19.893,3.013,1.09098
5,H->A,66.461,3.944,1.00905
5,H->B,222.393,-16.5,1.05999
5,H->C,51.234,-5.505,1.08916
5,H->D,39.37,-4.088,0.77747
5,H->E,196.7,-13.684,0.96265
5,H->F,108.712,17.496,0.93594
5,H->G,119.161,-19.309,0.90986
6,A->B,31.96,-0.934,1.07191
6,A->C,20.349,0.094,0.84208
6,A->D,1.541,-0.748,1.10414
6,A->E,44.455,5.518,1.13439
6,A->F,63.295,1.321,0.70071
6,A->G,30.257,-2.083,0.80353
6,A->H,64.669,-2.07,1.0186
6,B->A,2.838,1.253,0.94593
6,B->C,25.6,2.266,0.99434
6,B->D,42.84,-1.283,0.8755
6,B->E,19.226,1.91,1.14499
6,B->F,52.333,9.977,1.09416
6,B->G,48.158,3.523,0.98644
6,B->H,29.925,1.68,1.15653
6,C->A,17.739,-1.837,1.04897
6,C->B,24.551,5.181,0.8647
6,C->D,50.038,0.021,1.04747
6,C->E,53.22,-4.915,0.87903
6,C->F,25.771,6.976,1.10493
6,C->G,7.916,-1.884,0.972
6,C->H,12.068,-1.896,0.97919
6,D->A,35.249,5.726,0.90208
6,D->B,26.04,1.328,1.17355
6,D->C,22.393,-2.245,0.9854
6,D->E,14.839,-1.67,0.9312
6,D->F,19.146,2.01,0.93086
6,D->G,52.409,-2.959,1.08277
6,D->H,54.935,0.925,1.04336
6,E->A,22.118,1.851,1.04046
6,E->B,35.407,-3.181,1.06324
6,E->C,50.904,9.596,1.33139
6,E->D,82.214,-5.696,0.93486
6,E->F,12.159,2.096,0.92632
6,E->G,40.486,0.436,0.87069
6,E->H,64.688,1.905,1.08706
6,F->A,88.028,7.599,1.16429
6,F->B,27.655,-0.463,0.98035
6,F->C,33.813,-4.846,0.86043
6,F->D,43.861,-3.128,0.86485
6,F->E,10.412,-2.071,1.10781
6,F->G,44.849,-9.983,1.11399
6,F->H,107.572,-20.623,1.06743
6,G->A,47.866,-0.654,0.90906
6,G->B,5.335,-3.599,1.04424
6,G->C,16.983,1.491,1.02956
6,G->D,23.559,1.042,1.02502
6,G->E,69.412,0.042,1.14238
6,G->F,28.881,-0.298,1.03507
6,G->H,3.954,-1.248,1.09116
6,H->A,38.957,-0.069,1.01021
6,H->B,42.244,-3.015,1.05909
6,H->C,19.707,0.596,1.08327
6,H->D,20.529,-0.071,0.77666
6,H->E,109.949,9.886,0.95995
6,H->F,53.872,-10.53,0.93936
6,H->G,53.992,2.705,0.91636
7,A->B,66.086,0.464,1.06623
7,A->C,19.554,1.67,0.83879
7,A->D,7.207,-1.386,1.09561
7,A->E,27.91,-1.24,1.14048
7,A->F,139.071,-5.88,0.70082
7,A->G,26.36,-3.552,0.80558
7,A->H,54.927,-16.662,1.01547
7,B->A,4.879,-1.101,0.9508
7,B->C,15.901,0.216,0.99145
7,B->D,36.552,-5.437,0.87373
7,B->E,16.202,3.521,1.14479
7,B->F,39.273,-5.129,1.09468
7,B->G,37.535,-5.336,0.98274
7,B->H,33.96,0.433,1.15795
7,C->A,14.112,-1.894,1.05374
7,C->B,19.379,1.869,0.86193
7,C->D,36.293,2.521,1.04872
7,C->E,48.206,1.043,0.87768
7,C->F,,2.021,1.09452
7,C->G,10.947,-1.518,0.96928
7,C->H,7.811,-2.198,0.98016
7,D->A,31.386,3.734,0.90454
7,D->B,24.156,3.271,1.17533
7,D->C,35.134,-1.331,0.98213
7,D->E,8.981,1.276,0.93076
7,D->F,18.935,-0.014,0.93916
7,D->G,49.323,-1.64,1.0792
7,D->H,39.015,-4.291,1.04404
7,E->A,13.118,2.031,1.02701
7,E->B,38.074,-2.092,1.06676
7,E->C,38.372,-1.611,1.33804
7,E->D,75.13,4.432,0.94387
7,E->F,9.969,1.445,0.92863
7,E->G,38.265,-2.305,0.87575
7,E->H,48.663,2.945,1.08438
7,F->A,60.642,-8.691,1.17436
7,F->B,,-3.127,0.98509
7,F->C,22.554,-0.871,0.8544
7,F->D,43.789,-6.741,0.8647
7,F->E,5.766,-1.234,1.10996
7,F->G,41.465,1.632,1.11346
7,F->H,86.506,1.188,1.0708
7,G->A,38.978,4.265,0.91303
7,G->B,13.155,-1.662,1.03533
7,G->C,16.113,-0.855,1.03679
7,G->D,21.279,0.132,1.02757
7,G->E,56.925,-1.857,1.14274
7,G->F,31.205,2.88,1.0353
7,G->H,8.464,0.897,1.10326
7,H->A,34.539,2.102,1.02209
7,H->B,28.658,-1.358,1.06041
7,H->C,28.156,-1.153,1.08147
7,H->D,12.029,-1.389,0.773
7,H->E,89.72,-0.236,0.96346
7,H->F,49.602,3.153,0.94093
7,H->G,47.159,-4.126,0.91204
8,A->B,62.951,3.102,1.06946
8,A->C,28.913,-2.889,0.83621
8,A->D,17.496,-4.289,1.09745
8,A->E,76.588,5.813,1.13835
8,A->F,91.51,-11.481,0.69475
8,A->G,51.451,7.115,0.80779
8,A->H,103.947,-3.46,1.01635
8,B->A,27.23,-0.063,0.94694
8,B->C,36.439,6.947,0.99682
8,B->D,75.349,4.952,0.87184
8,B->E,57.514,8.721,1.13985
8,B->F,95.785,-5.387,1.08658
8,B->G,88.147,-3.02,0.97735
8,B->H,56.183,12.311,1.15955
8,C->A,22.561,3.348,1.04889
8,C->B,49.175,-1.137,0.86062
8,C->D,81.932,9.675,1.0513
8,C->E,94.648,4.101,0.88281
8,C->F,54.567,-11.637,1.1002
8,C->G,20.148,-1.648,0.97195
8,C->H,26.808,-4.642,0.9825
8,D->A,83.875,-10.696,0.90249
8,D->B,55.912,10.0,1.17608
8,D->C,62.957,-3.468,0.97243
8,D->E,41.126,-0.172,0.9329
8,D->F,46.549,7.829,0.93177
8,D->G,113.957,-7.949,1.0855
8,D->H,82.873,-7.098,1.04244
8,E->A,31.737,-0.037,1.02891
8,E->B,70.209,7.863,1.06815
8,E->C,84.004,0.416,1.34137
8,E->D,158.885,34.555,0.94259
8,E->F,38.936,1.059,0.91763
8,E->G,83.939,5.55,0.88014
8,E->H,108.954,-0.088,1.08172
8,F->A,151.221,17.378,1.17932
8,F->B,33.844,-7.026,0.9891
8,F->C,48.89,7.716,0.85761
8,F->D,96.59,-0.636,0.85959
8,F->E,24.624,-0.9,1.11871
8,F->G,79.103,1.231,1.12765
8,F->H,185.284,-17.545,1.07503
8,G->A,85.078,16.411,0.91141
8,G->B,8.6,-3.955,1.03488
8,G->C,31.288,-1.921,1.04034
8,G->D,48.326,3.589,1.02733
8,G->E,112.884,2.752,1.13768
8,G->F,59.904,-0.889,1.03835
8,G->H,20.545,0.291,1.0985
8,H->A,63.174,-11.366,1.01936
8,H->B,64.119,-10.936,1.06631
8,H->C,45.467,0.894,1.06896
8,H->D,42.509,-2.191,0.77339
8,H->E,195.275,0.399,0.97228
8,H->F,102.749,1.638,0.93979
8,H->G,104.795,-14.402,0.9133
9,A->B,59.677,2.891,1.06428
9,A->C,52.389,-1.61,0.8343
9,A->D,17.288,-2.884,1.10042
9,A->E,78.277,9.168,1.13492
9,A->F,99.672,-15.36,0.69421
9,A->G,52.669,-6.382,0.81315
9,A->H,112.199,-9.018,1.01802
9,B->A,28.729,-5.252,0.94795
9,B->C,122.546,1.681,0.99791
9,B->D,230.113,1.332,0.87554
9,B->E,54.811,-0.389,1.1445
9,B->F,97.38,11.944,1.09866
9,B->G,89.454,15.504,0.98006
9,B->H,58.429,7.517,1.1649
9,C->A,35.002,-2.241,1.04574
9,C->B,56.183,4.158,0.8581
9,C->D,96.214,-14.63,1.05017
9,C->E,106.11,2.666,0.8749
9,C->F,53.455,-1.417,1.10617
9,C->G,22.591,-3.401,0.97266
9,C->H,23.1,-6.72,0.97457
9,D->A,91.683,8.882,0.90104
9,D->B,53.013,3.744,1.18802
9,D->C,47.863,-1.179,0.97033
9,D->E,35.519,-9.072,0.93682
9,D->F,38.751,4.811,0.93798
9,D->G,108.745,-1.231,1.08789
9,D->H,102.41,2.985,1.05015
9,E->A,49.781,-1.863,1.02396
9,E->B,68.767,5.883,1.06769
9,E->C,86.071,0.655,1.35086
9,E->D,160.701,35.07,0.94481
9,E->F,30.818,5.396,0.91895
9,E->G,77.78,15.83,0.87975
9,E->H,108.658,-10.946,1.08066
9,F->A,146.214,14.776,1.17577
9,F->B,42.975,-6.545,0.99371
9,F->C,51.599,-3.913,0.86423
9,F->D,100.94,11.086,0.86591
9,F->E,24.629,-6.255,1.1184
9,F->G,91.029,-5.586,1.12644
9,F->H,199.722,-2.791,1.06983
9,G->A,89.242,17.675,0.90907
9,G->B,7.426,-6.624,1.04156
9,G->C,38.011,1.195,1.03541
9,G->D,42.237,-4.847,1.02555
9,G->E,,-6.129,1.13614
9,G->F,67.38,12.363,1.03594
9,G->H,21.944,4.858,1.10129
9,H->A,74.426,2.734,1.02445
9,H->B,77.046,-13.9,1.06504
9,H->C,44.713,-7.484,1.06862
9,H->D,41.306,1.099,0.77396
9,H->E,212.56,-22.391,0.97635
9,H->F,112.464,5.098,0.92644
9,H->G,118.699,4.961,0.91296
10,A->B,62.551,0.193,1.06514
10,A->C,42.165,5.19,0.82709
10,A->D,19.081,-4.074,1.09949
10,A->E,75.768,-9.141,1.14476
10,A->F,109.111,-12.01,0.69339
10,A->G,55.025,-0.241,0.80978
10,A->H,125.876,8.305,1.01563
10,B->A,24.675,1.747,0.94608
10,B->C,45.057,0.508,1.0011
10,B->D,84.996,-5.067,0.86849
10,B->E,53.563,-4.301,1.13413
10,B->F,109.963,11.221,1.10183
10,B->G,94.542,29.821,0.98279
10,B->H,53.677,9.567,1.16105
10,C->A,33.882,-1.066,1.04579
10,C->B,52.449,11.777,0.85764
10,C->D,103.486,8.048,1.05312
10,C->E,105.205,2.299,0.87915
10,C->F,52.145,1.223,1.11575
10,C->G,13.967,-5.4,0.97089
10,C->H,28.821,-6.096,0.96747
10,D->A,97.842,-8.928,0.90239
10,D->B,58.193,5.063,1.19901
10,D->C,71.466,-5.997,0.97509
10,D->E,41.706,-1.698,0.93942
10,D->F,39.132,4.216,0.94314
10,D->G,115.65,-16.122,1.0848
10,D->H,100.355,-4.46,1.05769
10,E->A,46.095,10.051,1.02365
10,E->B,72.861,-12.668,1.07107
10,E->C,79.615,-10.71,1.35431
10,E->D,175.75,-32.417,0.94161
10,E->F,37.216,-7.092,0.91289
10,E->G,86.398,7.266,0.88369
10,E->H,118.641,3.902,1.08342
10,F->A,,-11.106,1.17826
10,F->B,45.435,-10.051,0.99043
10,F->C,58.092,-5.14,0.86773
10,F->D,111.772,-8.537,0.86415
10,F->E,25.455,-7.099,1.12144
10,F->G,89.122,-22.844,1.12846
10,F->H,215.509,-22.156,1.07472
10,G->A,88.039,-3.034,0.906
10,G->B,14.715,-6.217,1.03994
10,G->C,48.823,4.637,1.03151
10,G->D,56.687,-3.602,1.02171
10,G->E,133.689,-5.01,1.13539
10,G->F,69.148,8.206,1.04202
10,G->H,19.622,-3.516,1.08964
10,H->A,72.152,5.773,1.03449
10,H->B,81.577,-6.409,1.06519
10,H->C,50.189,8.57,1.06845
10,H->D,38.158,-2.983,0.77442
10,H->E,211.685,-16.321,0.97574
10,H->F,118.412,18.955,0.92553
10,H->G,122.504,-0.984,0.92023
11,A->B,62.648,9.176,1.06482
11,A->C,35.617,-4.903,0.83679
11,A->D,66.254,-0.708,1.11035
11,A->E,75.67,-13.972,1.15085
11,A->F,117.978,-5.198,0.69194
11,A->G,53.818,-7.474,0.81407
11,A->H,112.074,-27.525,1.00942
11,B->A,24.792,0.062,0.94614
11,B->C,33.692,6.058,1.0006
11,B->D,78.833,8.919,0.87061
11,B->E,49.594,-0.765,1.14129
11,B->F,98.929,2.946,1.09977
11,B->G,96.822,17.305,0.98769
11,B->H,55.739,-1.834,1.15446
11,C->A,27.177,-2.272,1.05197
11,C->B,53.115,2.004,0.85765
11,C->D,104.007,-6.55,1.05765
11,C->E,,18.018,0.87539
11,C->F,47.617,6.233,1.11316
11,C->G,17.308,-4.834,0.97448
11,C->H,28.274,-1.687,0.97347
11,D->A,85.538,21.59,0.89729
11,D->B,65.625,8.769,1.19294
11,D->C,61.633,-0.97,0.97531
11,D->E,31.026,-4.267,0.94053
11,D->F,40.927,5.713,0.94667
11,D->G,109.557,-17.718,1.08662
11,D->H,93.956,-0.633,1.06064
11,E->A,44.339,3.82,1.02708
11,E->B,218.489,-5.145,1.06506
11,E->C,83.947,16.01,1.35303
11,E->D,164.056,3.696,0.93974
11,E->F,34.431,7.293,0.91399
11,E->G,82.751,3.397,0.88101
11,E->H,112.052,-16.23,1.07965
11,F->A,157.635,12.527,1.17446
11,F->B,43.363,-10.786,0.98456
11,F->C,60.014,0.062,0.8711
11,F->D,102.804,3.709,0.86579
11,F->E,20.666,-2.509,1.12532
11,F->G,81.544,-5.837,1.1208
11,F->H,197.601,-24.341,1.0741
11,G->A,89.17,12.157,0.90411
11,G->B,11.207,-2.813,1.04217
11,G->C,42.624,4.285,1.02868
11,G->D,50.893,-6.397,1.02692
11,G->E,133.663,27.469,1.14109
11,G->F,55.744,-8.622,1.04335
11,G->H,19.842,2.953,1.08175
11,H->A,63.021,10.204,1.03198
11,H->B,80.198,6.463,1.05907
11,H->C,52.509,-0.892,1.07104
11,H->D,29.857,2.481,0.77514
11,H->E,201.661,20.933,0.97394
11,H->F,121.791,-9.393,0.92397
11,H->G,120.84,15.762,0.91797
12,A->B,56.475,-2.249,1.06048
12,A->C,36.72,-1.542,0.82881
12,A->D,8.52,-3.447,1.10813
12,A->E,71.557,11.051,1.14659
12,A->F,106.589,-5.491,0.68839
12,A->G,51.533,-0.726,0.8117
12,A->H,109.071,-8.704,1.01019
12,B->A,31.965,3.185,0.96087
12,B->C,39.648,1.144,0.99838
12,B->D,72.58,1.501,0.87536
12,B->E,47.909,5.459,1.14572
12,B->F,97.486,8.395,1.10479
12,B->G,88.386,-1.973,0.9864
12,B->H,44.071,-1.461,1.15479
12,C->A,31.551,-4.387,1.04344
12,C->B,58.261,7.252,0.85138
12,C->D,90.141,6.114,1.05281
12,C->E,102.89,-3.299,0.87388
12,C->F,57.694,-2.139,1.10749
12,C->G,45.674,-3.305,0.96997
12,C->H,26.37,-4.892,0.97495
12,D->A,,-7.591,0.89467
12,D->B,56.092,3.749,1.1872
12,D->C,,9.55,0.97206
12,D->E,35.626,-2.952,0.93327
12,D->F,26.668,1.624,0.94173
12,D->G,103.853,-6.178,1.07657
12,D->H,91.092,-8.915,1.06623
12,E->A,49.279,9.593,1.02961
12,E->B,70.219,-16.656,1.05435
12,E->C,71.938,0.492,1.35381
12,E->D,163.625,-0.37,0.9392
12,E->F,47.439,2.276,0.91573
12,E->G,80.857,-8.073,0.88721
12,E->H,101.682,5.962,1.07614
12,F->A,157.258,31.218,1.17474
12,F->B,49.823,-7.675,0.98249
12,F->C,52.368,-8.459,0.87418
12,F->D,104.47,-10.778,0.86681
12,F->E,26.957,-3.461,1.1174
12,F->G,83.643,14.092,1.12846
12,F->H,192.648,-30.06,1.07247
12,G->A,79.446,8.03,0.8945
12,G->B,12.235,-4.629,1.04681
12,G->C,43.478,4.322,1.03246
12,G->D,43.975,-6.944,1.02202
12,G->E,128.869,-1.502,1.14683
12,G->F,64.036,1.554,1.05027
12,G->H,20.023,4.799,1.08077
12,H->A,60.021,7.386,1.02482
12,H->B,74.705,-2.689,1.06144
12,H->C,52.105,-5.662,1.07126
12,H->D,30.296,4.794,0.77663
12,H->E,198.386,31.795,0.97303
12,H->F,110.625,-13.926,0.92831
12,H->G,109.554,-1.277,0.91959
13,A->B,29.867,-2.287,1.06902
13,A->C,23.547,-1.606,0.82391
13,A->D,15.133,-1.359,1.10696
13,A->E,36.797,3.682,1.14724
13,A->F,62.634,8.584,0.69086
13,A->G,33.988,0.111,0.81489
13,A->H,59.991,-5.797,1.00065
13,B->A,17.8,-1.72,0.96397
13,B->C,19.581,3.251,1.00858
13,B->D,36.44,-1.945,0.87514
13,B->E,30.461,-1.261,1.16009
13,B->F,44.34,7.907,1.11015
13,B->G,55.775,2.521,0.99039
13,B->H,33.386,0.252,1.15852
13,C->A,13.71,-3.655,1.04795
13,C->B,29.171,1.119,0.85278
13,C->D,54.398,0.402,1.06351
13,C->E,60.508,5.994,0.87706
13,C->F,27.659,-0.179,1.10037
13,C->G,11.642,-3.452,0.96246
13,C->H,11.198,-2.68,0.96777
13,D->A,53.789,2.999,0.90109
13,D->B,32.755,4.696,1.18926
13,D->C,25.051,-0.287,0.97213
13,D->E,21.252,-0.972,0.92592
13,D->F,10.763,2.706,0.94403
13,D->G,50.001,-9.969,1.08724
13,D->H,44.445,-1.113,1.06286
13,E->A,22.935,-1.57,1.03099
13,E->B,51.902,4.576,1.05814
13,E->C,36.037,5.462,1.34847
13,E->D,81.391,-10.909,0.93896
13,E->F,14.464,1.523,0.91467
13,E->G,41.623,1.172,0.8893
13,E->H,59.905,-4.501,1.07152
13,F->A,83.555,3.358,1.17501
13,F->B,28.941,-3.669,0.98932
13,F->C,30.346,0.633,0.87097
13,F->D,51.617,-1.028,0.86488
13,F->E,9.35,-2.638,1.10857
13,F->G,47.855,11.047,1.12639
13,F->H,99.849,12.888,1.07096
13,G->A,51.131,0.453,0.89228
13,G->B,5.691,-3.065,1.04889
